spec_id,column,DDF_unit,inverse,DDF_target_value,param_name,parametertype_id,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,show,text,translations
974,0,,0,>0,"Fat, Weibull",5239,perfect,green,!=,"""""",null,null,null,null,1,null,null
974,0,,0,<1,Arsenic_10563,5284,perfect,green,<= ,0.3,,,,,1,,
974,0,,0,<1,Arsenic_10563,5284,OK,orange,>,0.3,AND,<=,1,,1,,
974,0,,0,<1,Arsenic_10563,5284,not OK,red,>,1,,,,,1,,
974,0,,0,<3,Lead_10773,5286,perfect,green,<= ,0.9,,,,,1,,
974,0,,0,<3,Lead_10773,5286,OK,orange,>,0.9,AND,<=,3,,1,,
974,0,,0,<3,Lead_10773,5286,not OK,red,>,3,,,,,1,,
974,0,,0,<1,Cadmium_10783,5288,perfect,green,<= ,0.3,,,,,1,,
974,0,,0,<1,Cadmium_10783,5288,OK,orange,>,0.3,AND,<=,1,,1,,
974,0,,0,<1,Cadmium_10783,5288,not OK,red,>,1,,,,,1,,
974,0,,0,<0.1,Mercury_10943,5302,perfect,green,<= ,0.03,,,,,1,,
974,0,,0,<0.1,Mercury_10943,5302,OK,orange,>,0.03,AND,<=,0.1,,1,,
974,0,,0,<0.1,Mercury_10943,5302,not OK,red,>,0.1,,,,,1,,
974,0,,0,>0,"Fatty acid, saturated",5444,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,"Fatty acid, monounsaturated",5445,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,"Fatty acid, polyunsaturated",5446,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,"Fatty acid, trans-*",5447,perfect,green,!=,"""""",,,,,1,,
974,0,,0,580,"Fatty acid, omega-3",5448,perfect,green,>=,522,AND,<= ,725,,1,,
974,0,,0,580,"Fatty acid, omega-3",5448,OK,orange,>=,464,AND,<,522,,1,,
974,0,,0,580,"Fatty acid, omega-3",5448,OK,orange,>,725,AND,<,870,,1,,
974,0,,0,580,"Fatty acid, omega-3",5448,not OK,red,>,870,OR,<,464,,1,,
974,0,,0,>0,"Fatty acids, omega-6",5449,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,"Fatty acids, omega-9",5450,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 4:0 Butyric acid,5451,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 6:0 Caproic acid,5452,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 8:0 Caprylic acid,5453,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 10:0 Capric acid,5454,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 11:0 Undecanoic acid,5455,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 12:0 Lauric acid,5456,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 13:0 Tridecanoic acid,5457,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 14:0 Myristic acid,5458,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 14:1 Myristoleic acid,5459,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 15:0 Pentadecanoic acid,5460,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 15:1 cis 10-pentadecenoic acid,5461,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 16:0 Palmitic acid,5462,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 16:1 Palmitoleic acid,5463,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 16:2 Hexadecadienoic acid,5464,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 16:3 Hexadecatrienoic acid,5465,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 16:4 Hexadecatetraenoic acid,5466,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 17:0 Heptadecanoic acid,5467,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 17:1 Heptadecenoic acid,5468,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:0 Stearic acid,5469,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:1 Oleic acid,5470,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:1 Petroselinic acid,5471,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:1 cis 11-octadecenoic acid,5472,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:2 Linoleic acid (o-6),5473,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:3 alpha-linolenic acid (o-3),5474,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:3 Linolenic acid (o-4),5475,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:3 Linolenic acid (o-6),5476,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 18:4 Stearidonic acid (o-3),5477,perfect,green,!=,"""""",,,,,1,,
974,0,,0,>0,C 20:0 Arachidic acid,5478,perfect,green,!=,"""""",,,,,1,,
