id,name,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,DDF_target_value,DDF_custom_color
236267,3-MCPD/2-MCPD glycidyl ester,11235,1600,,0,!=,"""""",,,,green,1,perfect,0,,1770992790,1770992790,,,,
236268,"3-MCPD, total (free and ester)",11236,1600,,0,<=,375,,,,green,1,perfect,0,,1770992790,1770992790,,µg/kg,1250,
236269,"MCPD,2-, total",12004,1600,,0,!=,"""""",,,,green,1,perfect,0,,1770992790,1770992790,,,,
236270,"Glycidyl esters, sub-parameters",12005,1600,,0,<=,300,,,,green,1,perfect,0,,1770992790,1770992790,,µg/kg,1000,
236271,"Ethylene oxide, QuEChERS",5371,1600,,0,!=,"""""",,,,green,1,perfect,0,,1770992790,1770992790,,,,
236272,"Ethylene oxide, free",5372,1600,,0,!=,"""""",,,,green,1,perfect,0,,1770992790,1770992790,,,,
236273,2-chloro-ethanol,5373,1600,,0,!=,"""""",,,,green,1,perfect,0,,1770992790,1770992790,,,,
236274,"Ethylene oxide, total",5374,1600,,0,<=,1,,=,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.1,
236275,"Arsenic, inorganic_38852",5545,1600,,0,<=,0.3,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,1,
236276,Chloroethoxyfos,11182,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236277,Captan metabolite tetrahydrophthalimide (THPI),11271,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236278,Phthalimide,11412,1600,,0,<=,0.15,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.15,
236279,"1,4-Dimethylnaphthalene",10499,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236280,Bendiocarb,10505,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236281,Acephate,10510,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236282,Benodanil,10511,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236283,Acetamiprid,10512,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236284,Aclonifen,10518,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236285,Aldicarb,10523,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236286,Benzalkonium chloride - C14,10526,1600,,0,<=,0.15,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.15,
236287,Benzalkonium chloride - C16,10529,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236288,Allethrin,10530,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236289,Amidithione,10534,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236290,Benzalkonium chloride - C8,10535,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236291,Amitraz,10541,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236292,Atrazine,10546,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236293,Bixafen,10554,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236294,Azinphos-methyl,10555,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236295,Boscalid,10556,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236296,Chlorobromuron,10568,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236297,"Chlordane, oxy-",10573,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236298,Bromuconazole,10576,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236299,Chlorodimeform,10578,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236300,Cadusafos,10596,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236301,Chlorothiophos,10615,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236302,Cinosulfuron,10623,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236303,Climbazole,10633,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236304,Cloquintocet-Mexyl,10638,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236305,Cyanofenphos,10650,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236306,Cyantraniliprole,10654,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236307,Cyenopygraphs,10661,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236308,Diclobutrazol,10662,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236309,Cyflufenamide,10663,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236310,Cyproconazole,10674,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236311,"DDD-o,p",10680,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236312,"DDE-p,p",10686,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236313,Difenacoum,10688,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236314,Diflubenzuron,10699,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236315,Dimethenamide,10706,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236316,Dimethoate,10708,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236317,Etaconazole,10709,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236318,Dimethomorphs,10710,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236319,Ethirimol,10717,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236320,Ethofumesate,10719,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236321,Ethoxyquin dimer,10726,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236322,Diniconazole,10727,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236323,Etofenprox,10728,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236324,Dinitramine,10729,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236325,Dinocap,10731,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236326,Dioxabenzophos,10735,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236327,Dioxathion,10739,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236328,Diuron,10754,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236329,Fenbutatin oxide,10757,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236330,Dodin,10758,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236331,Fenfluthrin,10763,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236332,Fenhexamide,10765,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236333,Emamectin benzoate B1a,10766,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236334,Fenoxaprop-P-Ethyl,10775,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236335,Flumioxazine,10776,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236336,Fenpicoxamide,10781,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236337,Fluorodifen,10784,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236338,Flurochloridone,10799,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236339,Fenthion oxon,10800,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236340,Fluroxypyr-1-methylheptyl,10801,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
236341,Fenthion oxon sulfoxide,10804,1600,,0,<=,0.01,,,,green,1,perfect,0,,1770992790,1770992790,,mg/kg,0.01,
