DDF_GBAID,name,translations_en_name,group_id,DDF_days,DDF_price,description,einheit,translations_en_einheit,existing
,MOSH/POSH C10-16,MOSH/POSH C10-16,211,,,,,,
,MOSH/POSH C16-20,MOSH/POSH C16-20,211,,,,,,
,MOSH/POSH C20-25,MOSH/POSH C20-25,211,,,,,,
,MOSH/POSH C25-35,MOSH/POSH C25-35,211,,,,,,
,MOSH/POSH C35-40,MOSH/POSH C35-40,211,,,,,,
,MOSH/POSH C40-50,MOSH/POSH C40-50,211,,,,,,
,MOSH/POSH C10-50,MOSH/POSH C10-50,211,,,,,,
,MOSH/POSH C14-54,MOSH/POSH C14-54,211,,,,,,
,MOAH C10-16,MOAH C10-16,211,,,,,,
,MOAH C16-25,MOAH C16-25,211,,,,,,
,MOAH C25-35,MOAH C25-35,211,,,,,,
,MOAH C35-50,MOAH C35-50,211,,,,,,
,MOAH C10-50,MOAH C10-50,211,,,,,,
,MOAH C14-42,MOAH C14-42,211,,,,,,
