spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,1,0,0,,5215,,Methionine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5218,,Threonine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5219,,Serine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5220,,Glutamic acid,perfect,green,!=,"""""",,,,,,
,1,0,0,,5221,,Glycine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5222,,Alanine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5223,,Valine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5224,,Isoleucine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5225,,Leucine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5226,,Tyrosine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5227,,Phenylalanine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5228,,Lysine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5229,,Histidine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5230,,Arginine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5231,,Proline,perfect,green,!=,"""""",,,,,,
,1,0,0,,5232,,Ornithine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5233,,"Aminobutyric acid, gamma",perfect,green,!=,"""""",,,,,,
,1,0,0,,5234,,Taurine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5235,,Hydroxy-Lysine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5236,,Total amino acids,perfect,green,!=,"""""",,,,,,
,1,0,0,,11251,,"Aspartic acid, after hydrolysis",perfect,green,!=,"""""",,,,,,
,1,0,0,,11293,,"Cyst(e)in, after hydrolysis",perfect,green,!=,"""""",,,,,,
,1,0,0,,5217,,Hydroxyproline,perfect,green,!=,"""""",,,,,,
,1,0,0,,11916,,"Amino acids, total",perfect,green,!=,"""""",,,,,,
