spec_id,column,DDF_unit,inverse,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,show,text,translations
,0,,0,5239,>0,"Fat, Weibull",perfect,green,!=,"""""",null,null,null,null,1,null,null
,0,,0,11927,,Fatty acid spectrum,perfect,green,!=,"""""",,,,,1,,
,0,,0,5444,>0,"Fatty acid, saturated",perfect,green,!=,"""""",,,,,1,,
,0,,0,5445,>0,"Fatty acid, monounsaturated",perfect,green,!=,"""""",,,,,1,,
,0,,0,5446,>0,"Fatty acid, polyunsaturated",perfect,green,!=,"""""",,,,,1,,
,0,,0,5447,>0,"Fatty acid, trans-*",perfect,green,!=,"""""",,,,,1,,
,0,,0,5448,580,"Fatty acid, omega-3",perfect,green,>=,522,AND,<= ,725,,1,,
,0,,0,5448,580,"Fatty acid, omega-3",OK,orange,>=,464,AND,<,522,,1,,
,0,,0,5448,580,"Fatty acid, omega-3",OK,orange,>,725,AND,<,870,,1,,
,0,,0,5448,580,"Fatty acid, omega-3",not OK,red,<,,OR,>,,,1,,
,0,,0,5449,>0,"Fatty acids, omega-6",perfect,green,!=,"""""",,,,,1,,
,0,,0,5450,>0,"Fatty acids, omega-9",perfect,green,!=,"""""",,,,,1,,
,0,,0,5451,>0,C 4:0 Butyric acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5452,>0,C 6:0 Caproic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5453,>0,C 8:0 Caprylic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5454,>0,C 10:0 Capric acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5455,>0,C 11:0 Undecanoic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5456,>0,C 12:0 Lauric acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5457,>0,C 13:0 Tridecanoic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5458,>0,C 14:0 Myristic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5459,>0,C 14:1 Myristoleic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5460,>0,C 15:0 Pentadecanoic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5461,>0,C 15:1 cis 10-pentadecenoic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5462,>0,C 16:0 Palmitic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5463,>0,C 16:1 Palmitoleic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5464,>0,C 16:2 Hexadecadienoic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5465,>0,C 16:3 Hexadecatrienoic acid,perfect,green,!=,"""""",,,,,1,,
,0,,0,5466,>0,C 16:4 Hexadecatetraenoic acid,perfect,green,!=,"""""",,,,,1,,
