spec_id,column,DDF_unit,inverse,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,show,text,translations
,0,,0,11920,,Screening ICP,perfect,green,!=,"""""",,,,,1,,
,0,,0,5282,,Aluminum_18343,perfect,green,!=,"""""",,,,,1,,
,0,,0,5283,,Antimony_20083,perfect,green,!=,"""""",,,,,1,,
,0,,0,5285,,Barium_20483,perfect,green,!=,"""""",,,,,1,,
,0,,0,5287,,Bor_27363,perfect,green,!=,"""""",,,,,1,,
,0,,0,5289,,Calcium_10793,perfect,green,!=,"""""",,,,,1,,
,0,,0,5290,,Chrome_20473,perfect,green,!=,"""""",,,,,1,,
,0,,0,5291,,Cobalt_32293,perfect,green,!=,"""""",,,,,1,,
,0,,0,5292,,Iron_10833,perfect,green,!=,"""""",,,,,1,,
,0,,0,5293,,Potassium_10843,perfect,green,!=,"""""",,,,,1,,
,0,,0,5294,,Copper_10933,perfect,green,!=,"""""",,,,,1,,
,0,,0,5295,,Lithium_27653,perfect,green,!=,"""""",,,,,1,,
,0,,0,5296,,Magnesium_631,perfect,green,!=,"""""",,,,,1,,
,0,,0,5297,,Mangan_10863,perfect,green,!=,"""""",,,,,1,,
,0,,0,5298,,Molybdenum_27043,perfect,green,!=,"""""",,,,,1,,
,0,,0,5299,,Sodium_10873,perfect,green,!=,"""""",,,,,1,,
,0,,0,5300,,Nickel_10893,perfect,green,!=,"""""",,,,,1,,
,0,,0,5301,,"Phosphorus, total_7003",perfect,green,!=,"""""",,,,,1,,
,0,,0,5303,,Sulphur_31843,perfect,green,!=,"""""",,,,,1,,
,0,,0,5304,,Selenium_10903,perfect,green,!=,"""""",,,,,1,,
,0,,0,5305,,Silver_32263,perfect,green,!=,"""""",,,,,1,,
,0,,0,5306,,Strontium_30353,perfect,green,!=,"""""",,,,,1,,
,0,,0,5307,,Tellurium_30373,perfect,green,!=,"""""",,,,,1,,
,0,,0,5308,,Titan_29883,perfect,green,!=,"""""",,,,,1,,
,0,,0,5309,,Uranium_32509,perfect,green,!=,"""""",,,,,1,,
,0,,0,5310,,Vanadium_30383,perfect,green,!=,"""""",,,,,1,,
,0,,0,5311,,Zinc_10913,perfect,green,!=,"""""",,,,,1,,
,0,,0,5312,,Tin_10923,perfect,green,!=,"""""",,,,,1,,
,0,,0,5284,<1,Arsenic_10563,perfect,green,<= ,0.3,,,,,1,,
,0,,0,5284,<1,Arsenic_10563,OK,orange,>,0.3,AND,<=,1,,1,,
,0,,0,5284,<1,Arsenic_10563,not OK,red,>,1,,,,,1,,
,0,,0,5286,<3,Lead_10773,perfect,green,<= ,0.9,,,,,1,,
,0,,0,5286,<3,Lead_10773,OK,orange,>,0.9,AND,<=,3,,1,,
,0,,0,5286,<3,Lead_10773,not OK,red,>,3,,,,,1,,
,0,,0,5288,<1,Cadmium_10783,perfect,green,<= ,0.3,,,,,1,,
,0,,0,5288,<1,Cadmium_10783,OK,orange,>,0.3,AND,<=,1,,1,,
,0,,0,5288,<1,Cadmium_10783,not OK,red,>,1,,,,,1,,
,0,,0,5302,<0.1,Mercury_10943,perfect,green,<= ,0.03,,,,,1,,
,0,,0,5302,<0.1,Mercury_10943,OK,orange,>,0.03,AND,<=,0.1,,1,,
,0,,0,5302,<0.1,Mercury_10943,not OK,red,>,0.1,,,,,1,,
