spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,1,0,0,,5331,,MOSH/POSH (C10-16),perfect,green,!=,"""""",,,,,,
,1,0,0,,5332,,MOSH/POSH (C17-20),perfect,green,!=,"""""",,,,,,
,1,0,0,,5333,,MOSH/POSH (C21-25),perfect,green,!=,"""""",,,,,,
,1,0,0,,5334,,MOSH/POSH (C26-35),perfect,green,!=,"""""",,,,,,
,1,0,0,,5335,,MOSH/POSH (C36-40),perfect,green,!=,"""""",,,,,,
,1,0,0,,5336,,MOSH/POSH (C41-50),perfect,green,!=,"""""",,,,,,
,1,0,0,,5337,,MOSH/POSH (total) C10-50,perfect,green,!=,"""""",,,,,,
,1,0,0,,5338,,MOAH (C10-16),perfect,green,<=,1,,,,,,
,1,0,0,,5338,,MOAH (C10-16),not OK,red,>,1,,,,,,
,1,0,0,,5339,,MOAH (C17-25),perfect,green,<=,1,,,,,,
,1,0,0,,5339,,MOAH (C17-25),not OK,red,>,1,,,,,,
,1,0,0,,5340,,MOAH (C26-35),perfect,green,<=,1,,,,,,
,1,0,0,,5340,,MOAH (C26-35),not OK,red,>,1,,,,,,
,1,0,0,,5341,,MOAH (C36-50),perfect,green,<=,1,,,,,,
,1,0,0,,5341,,MOAH (C36-50),not OK,red,>,1,,,,,,
,1,0,0,,5342,,MOAH (total) C10-50,perfect,green,!=,"""""",,,,,,
,1,0,0,,11923,,Mineral oilKW (MOSH/POSH/MOA),perfect,green,!=,"""""",,,,,,
