spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,1,0,0,,5509,800µg,Vitamin A_8613,perfect,green,>=,720,AND,<=,1000,,,
,1,0,0,,5509,800µg,Vitamin A_8613,OK,orange,>=,640,AND,<,720,,,
,1,0,0,,5509,800µg,Vitamin A_8613,OK,orange,>,1000,AND,<=,1200,,,
,1,0,0,,5509,800µg,Vitamin A_8613,not OK,red,<,640,OR,>,1200,,,
,1,0,0,,5515,200µg,Folic acid/vitamin B9_5093,perfect,green,>=,180,AND,<=,250,,,
,1,0,0,,5515,200µg,Folic acid/vitamin B9_5093,OK,orange,>=,160,AND,<,180,,,
,1,0,0,,5515,200µg,Folic acid/vitamin B9_5093,OK,orange,>,250,AND,<=,300,,,
,1,0,0,,5515,200µg,Folic acid/vitamin B9_5093,not OK,red,<,160,OR,>,300,,,
,1,0,0,,11247,84mg,Vitamin C/Ascorbic acid_18813,perfect,green,>=,75.6,AND,<=,105,,,
,1,0,0,,11247,84mg,Vitamin C/Ascorbic acid_18813,OK,orange,>=,67.2,AND,<,75.6,,,
,1,0,0,,11247,84mg,Vitamin C/Ascorbic acid_18813,OK,orange,>,105,AND,<=,126,,,
,1,0,0,,11247,84mg,Vitamin C/Ascorbic acid_18813,not OK,red,<,67.2,OR,>,126,,,
,1,0,0,,5512,5µg,Vitamin D3_8363,perfect,green,>=,4.5,AND,<=,6.25,,,
,1,0,0,,5512,5µg,Vitamin D3_8363,OK,orange,>=,4,AND,<,4.5,,,
,1,0,0,,5512,5µg,Vitamin D3_8363,OK,orange,>,6.25,AND,<=,7.5,,,
,1,0,0,,5512,5µg,Vitamin D3_8363,not OK,red,<,4,OR,>,7.5,,,
