spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,1,0,0,,5398,,Echimidine N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5399,,Heliosupine N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5400,,"Echimidine/Heliosupine, total",perfect,green,!=,"""""",,,,,,
,1,0,0,,5401,,Echinatin N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5402,,Europine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5403,,Europin-N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5404,,Heliotrin,perfect,green,!=,"""""",,,,,,
,1,0,0,,5405,,Heliotrin-N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5406,,"Integerrimin-N-oxide/ Senecionin-N-oxide, sum",perfect,green,!=,"""""",,,,,,
,1,0,0,,5407,,Intermedine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5408,,"Intermedin-N-oxide/Indicin-N-oxide, sum",perfect,green,!=,"""""",,,,,,
,1,0,0,,5409,,Lasiocarpine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5410,,Lasiocarpine N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5411,,"Lycopsamine/indicator, total",perfect,green,!=,"""""",,,,,,
,1,0,0,,5412,,Lycopsamine N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5413,,"Retrorsine/Usaramine, total",perfect,green,!=,"""""",,,,,,
,1,0,0,,11673,,"Retrorsine N-oxide/usaramine N-oxide, total",perfect,green,!=,"""""",,,,,,
,1,0,0,,5415,,"Rinderine/Echinatine, total",perfect,green,!=,"""""",,,,,,
,1,0,0,,5416,,Bovine N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5417,,Senecionine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5418,,Seneciphyllin,perfect,green,!=,"""""",,,,,,
,1,0,0,,5419,,Seneciphyllin-N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5420,,"Senecivernin/Integerrimin, total",perfect,green,!=,"""""",,,,,,
,1,0,0,,5421,,Senecivernin-N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5422,,Senkirkine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5423,,Spartioidine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5424,,Spartioidin-N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5425,,Erucifoline,perfect,green,!=,"""""",,,,,,
,1,0,0,,5426,,Erucifolin-N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5427,,Jacobins,perfect,green,!=,"""""",,,,,,
,1,0,0,,5428,,Jacobin N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5429,,Monocrotaline,perfect,green,!=,"""""",,,,,,
,1,0,0,,5430,,Monocrotaloin-N-oxide,perfect,green,!=,"""""",,,,,,
,1,0,0,,5431,,Trichodes mine,perfect,green,!=,"""""",,,,,,
,1,0,0,,5432,,"Pyrrolizidine alkaloids, sum BfR-28",perfect,green,!=,"""""",,,,,,
,1,0,0,,5433,,"Pyrrolizidine alkaloids, sum VO VO 2023/915'",perfect,green,<=,120,,,,,,
,1,0,0,,5433,,"Pyrrolizidine alkaloids, sum VO VO 2023/915'",OK,orange,>,120,AND,<=,400,,,
,1,0,0,,5433,,"Pyrrolizidine alkaloids, sum VO VO 2023/915'",not OK,red,>,400,,,,,,
,1,0,0,,11926,,Pyrrolizidine alkaloids (PA),perfect,green,!=,"""""",,,,,,
