spec_id,show,column,DDF_unit,inverse,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,1,0,,0,5435,<10,Methanol,perfect,green,<,3,,,,,,
,1,0,,0,5435,<10,Methanol,OK,orange,>,3,AND,<=,10,,,
,1,0,,0,5435,<10,Methanol,not OK,red,>,10,,,,,,
,1,0,,0,5438,<10,Propan-2-ol,perfect,green,<,3,,,,,,
,1,0,,0,5438,<10,Propan-2-ol,OK,orange,>,3,AND,<=,10,,,
,1,0,,0,5438,<10,Propan-2-ol,not OK,red,>,10,,,,,,
,1,0,mg/kg,0,5434,<1,Acetone,perfect,green,<=,1,,,,,,
,1,0,,0,5436,<1,Ethanol*,perfect,green,<=,1,,,,,,
,1,0,,0,5437,<1,n-hexane,perfect,green,<=,1,,,,,,
,1,0,,0,5439,<1,Methyl acetate,perfect,green,<=,1,,,,,,
,1,0,,0,5440,<1,Ethyl acetate,perfect,green,<=,1,,,,,,
,1,0,,0,5441,<1,Butyl acetate,perfect,green,<=,1,,,,,,
,1,0,,0,5442,<1,Ethyl methyl ketone,perfect,green,<=,1,,,,,,
,1,0,,0,5443,<1,Dichloromethane,perfect,green,<=,1,,,,,,
,1,0,,0,11777,<1,Solvent residues,perfect,green,<=,1,,,,,,
,1,0,,0,11319,<1,Ethyl methyl ketone (= methyl ethyl ketone (MEK)),perfect,green,<=,1,,,,,,
,1,0,mg/kg,0,5434,<1,Acetone,not OK,red,>,1,,,,,,
,1,0,,0,5436,<1,Ethanol*,not OK,red,>,1,,,,,,
,1,0,,0,5437,<1,n-hexane,not OK,red,>,1,,,,,,
,1,0,,0,5439,<1,Methyl acetate,not OK,red,>,1,,,,,,
,1,0,,0,5440,<1,Ethyl acetate,not OK,red,>,1,,,,,,
,1,0,,0,5441,<1,Butyl acetate,not OK,red,>,1,,,,,,
,1,0,,0,5442,<1,Ethyl methyl ketone,not OK,red,>,1,,,,,,
,1,0,,0,5443,<1,Dichloromethane,not OK,red,>,1,,,,,,
,1,0,,0,11777,<1,Solvent residues,not OK,red,>,1,,,,,,
,1,0,,0,11319,<1,Ethyl methyl ketone (= methyl ethyl ketone (MEK)),not OK,red,>,1,,,,,,
