spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,1,0,0,mg,5516,1.1mg,Vitamin B1 (thiamine)*_36277,perfect,green,>=,0.99,AND,<=,1.38,,,
,1,0,0,mg,5516,1.1mg,Vitamin B1 (thiamine)*_36277,OK,orange,>=,0.88,AND,<,0.99,,,
,1,0,0,mg,5516,1.1mg,Vitamin B1 (thiamine)*_36277,OK,orange,>,1.38,AND,<=,1.65,,,
,1,0,0,mg,5516,1.1mg,Vitamin B1 (thiamine)*_36277,not OK,red,<,0.88,OR,>,1.65,,,
,1,0,0,,5517,1.4mg,Vitamin B2 (riboflavin)*_36278,perfect,green,>=,1.26,AND,<=,1.75,,,
,1,0,0,,5517,1.4mg,Vitamin B2 (riboflavin)*_36278,OK,orange,>=,1.12,AND,<,1.26,,,
,1,0,0,,5517,1.4mg,Vitamin B2 (riboflavin)*_36278,OK,orange,>,1.75,AND,<=,2.1,,,
,1,0,0,,5517,1.4mg,Vitamin B2 (riboflavin)*_36278,not OK,red,<,1.12,OR,>,2.1,,,
,1,0,0,,5518,1.4mg,Vitamin B6*_36279,perfect,green,>=,1.26,AND,<=,1.75,,,
,1,0,0,,5518,1.4mg,Vitamin B6*_36279,OK,orange,>=,1.12,AND,<,1.26,,,
,1,0,0,,5518,1.4mg,Vitamin B6*_36279,OK,orange,>,1.75,AND,<=,2.1,,,
,1,0,0,,5518,1.4mg,Vitamin B6*_36279,not OK,red,<,1.12,OR,>,2.1,,,
,1,0,0,,5519,16mg,Niacin*_36280,perfect,green,>=,14.4,AND,<=,20,,,
,1,0,0,,5519,16mg,Niacin*_36280,OK,orange,>=,12.8,AND,<,14.4,,,
,1,0,0,,5519,16mg,Niacin*_36280,OK,orange,>,20,AND,<=,24,,,
,1,0,0,,5519,16mg,Niacin*_36280,not OK,red,<,12.8,OR,>,24,,,
,1,0,0,,5520,6mg,Pantothensäure*_36282,perfect,green,>=,5.4,AND,<=,7.5,,,
,1,0,0,,5520,6mg,Pantothensäure*_36282,OK,orange,>=,4.8,AND,<,5.4,,,
,1,0,0,,5520,6mg,Pantothensäure*_36282,OK,orange,>,7.5,AND,<=,9,,,
,1,0,0,,5520,6mg,Pantothensäure*_36282,not OK,red,<,4.8,OR,>,9,,,
,1,0,0,,11705,50µg,"Biotin, multivitamins",perfect,green,>=,45,AND,<=,62.5,,,
,1,0,0,,11705,50µg,"Biotin, multivitamins",OK,orange,>=,40,AND,<,45,,,
,1,0,0,,11705,50µg,"Biotin, multivitamins",OK,orange,>,62.5,AND,<=,75,,,
,1,0,0,,11705,50µg,"Biotin, multivitamins",not OK,red,<,40,OR,>,75,,,
