spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
,1,0,0,,11462,,"Tocopherol, alpha",perfect,green,!=,"""""",,,,,,
,1,0,0,,11463,,"Tocopherol, beta",perfect,green,!=,"""""",,,,,,
,1,0,0,,11464,,"Tocopherol, delta",perfect,green,!=,"""""",,,,,,
,1,0,0,,11465,,"Tocopherol, gamma",perfect,green,!=,"""""",,,,,,
,1,0,0,,11466,,"Tocotrienol, alpha",perfect,green,!=,"""""",,,,,,
,1,0,0,,11467,,"Tocotrienol, beta",perfect,green,!=,"""""",,,,,,
,1,0,0,,11468,,"Tocotrienol, delta",perfect,green,!=,"""""",,,,,,
,1,0,0,,11469,,"Tocotrienol, gamma",perfect,green,!=,"""""",,,,,,
,1,0,0,,11959,,Tocopherols/tocotrienols,perfect,green,!=,"""""",,,,,,
,1,0,0,mg,11478,12mg,"Vitamin E, calculated via the density",perfect,green,>=,10.8,AND,<=,15,,,
,1,0,0,mg,11478,12mg,"Vitamin E, calculated via the density",OK,orange,>=,9.6,AND,<,10.8,,,
,1,0,0,mg,11478,12mg,"Vitamin E, calculated via the density",OK,orange,>,15,AND,<=,18,,,
,1,0,0,mg,11478,12mg,"Vitamin E, calculated via the density",not OK,red,<,9.6,OR,>,18,,,
