id,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,name,DDF_target_value,DDF_custom_color
81446,11235,1205,,0,!=,"""""",,,,green,1,perfect,0,,1765133244,1765133244,,,3-MCPD/2-MCPD glycidyl ester,,
81447,11236,1205,,0,<=,375,,,,green,1,perfect,0,,1765133244,1765133244,,µg/kg,"3-MCPD, total (free and ester)",1250,
81448,12004,1205,,0,!=,"""""",,,,green,1,perfect,0,,1765133244,1765133244,,,"MCPD,2-, total",,
81449,12005,1205,,0,<=,300,,,,green,1,perfect,0,,1765133244,1765133244,,µg/kg,"Glycidyl esters, sub-parameters",1000,
81450,5371,1205,,0,!=,"""""",,,,green,1,perfect,0,,1765133244,1765133244,,,"Ethylene oxide, QuEChERS",,
81451,5372,1205,,0,!=,"""""",,,,green,1,perfect,0,,1765133244,1765133244,,,"Ethylene oxide, free",,
81452,5373,1205,,0,!=,"""""",,,,green,1,perfect,0,,1765133244,1765133244,,,2-chloro-ethanol,,
81453,5374,1205,,0,<=,1,,=,,green,1,perfect,0,,1765133244,1767625222,,mg/kg,"Ethylene oxide, total",0.1,
81455,5545,1205,,0,<=,0.3,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"Arsenic, inorganic_38852",1,
81459,11182,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chloroethoxyfos,0.01,
81460,11271,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Captan metabolite tetrahydrophthalimide (THPI),0.01,
81461,11412,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Phthalimide,0.01,
81462,10499,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"1,4-Dimethylnaphthalene",0.01,
81463,10505,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Bendiocarb,0.01,
81464,10510,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Acephate,0.01,
81465,10511,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Benodanil,0.01,
81466,10512,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Acetamiprid,0.01,
81467,10518,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Aclonifen,0.01,
81468,10523,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Aldicarb,0.01,
81469,10526,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Benzalkonium chloride - C14,0.01,
81470,10529,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Benzalkonium chloride - C16,0.01,
81471,10530,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Allethrin,0.01,
81472,10534,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Amidithione,0.01,
81473,10535,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Benzalkonium chloride - C8,0.01,
81474,10541,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Amitraz,0.01,
81475,10546,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Atrazine,0.01,
81476,10554,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Bixafen,0.01,
81477,10555,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Azinphos-methyl,0.01,
81478,10556,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Boscalid,0.01,
81479,10568,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chlorobromuron,0.01,
81480,10573,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"Chlordane, oxy-",0.01,
81481,10576,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Bromuconazole,0.01,
81482,10578,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chlorodimeform,0.01,
81483,10596,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cadusafos,0.01,
81484,10615,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Chlorothiophos,0.01,
81485,10623,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cinosulfuron,0.01,
81486,10633,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Climbazole,0.01,
81487,10638,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cloquintocet-Mexyl,0.01,
81488,10650,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cyanofenphos,0.01,
81489,10654,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cyantraniliprole,0.01,
81490,10661,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cyenopygraphs,0.01,
81491,10662,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diclobutrazol,0.01,
81492,10663,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cyflufenamide,0.01,
81493,10674,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Cyproconazole,0.01,
81494,10680,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"DDD-o,p",0.01,
81495,10686,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,"DDE-p,p",0.01,
81496,10688,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Difenacoum,0.01,
81497,10699,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diflubenzuron,0.01,
81498,10706,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dimethenamide,0.01,
81499,10708,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dimethoate,0.01,
81500,10709,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Etaconazole,0.01,
81501,10710,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dimethomorphs,0.01,
81502,10717,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Ethirimol,0.01,
81503,10719,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Ethofumesate,0.01,
81504,10726,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Ethoxyquin dimer,0.01,
81505,10727,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diniconazole,0.01,
81506,10728,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Etofenprox,0.01,
81507,10729,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dinitramine,0.01,
81508,10731,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dinocap,0.01,
81509,10735,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dioxabenzophos,0.01,
81510,10739,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dioxathion,0.01,
81511,10754,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Diuron,0.01,
81512,10757,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenbutatin oxide,0.01,
81513,10758,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Dodin,0.01,
81514,10763,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenfluthrin,0.01,
81515,10765,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenhexamide,0.01,
81516,10766,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Emamectin benzoate B1a,0.01,
81517,10775,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenoxaprop-P-Ethyl,0.01,
81518,10776,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Flumioxazine,0.01,
81519,10781,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenpicoxamide,0.01,
81520,10784,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fluorodifen,0.01,
81521,10799,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Flurochloridone,0.01,
81522,10800,1205,,0,<=,0.01,,,,green,1,perfect,0,,1765133244,1765133244,,mg/kg,Fenthion oxon,0.01,
