Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-04829;5038;"Q10 Ubiquinol 100mg";;26.10.2023;NA;"Capsule weight, whole";9802;0.68;;;"not rated";;
25-04829;5038;"Q10 Ubiquinol 100mg";;26.10.2023;NA;"Coenzyme Q10";11796;11700;;;"not rated";;
25-04829;5038;"Q10 Ubiquinol 100mg";;26.10.2023;NA;Ubiquinol;11797;148000;;;"not rated";;
25-03580;5038;"Sunday Q10 Kapseln 08405 Ubiquinol Ubiquinon 121124B";"All / Saleable / Supplements";21.10.2024;L08405;"Ubiquinol ";11634;101;;;"not rated";;
25-03580;5038;"Sunday Q10 Kapseln 08405 Ubiquinol Ubiquinon 121124B";"All / Saleable / Supplements";21.10.2024;L08405;"Ubiquinone ";11635;2,3;;;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;Enterobacteriaceae;5548;<10;"cfu/ g";;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;"Staphylococci, coag. positive";5550;<10;"cfu/ g";;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;Yeasts;5553;<10;"cfu/ g";;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;Molds;5554;<10;"cfu/ g";;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;"Bile-tolerant gram-negative bacteria";11264;negativ;;;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;"Total number of panels";11681;<10;;;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;"E. coli";11682;negativ;;;"not rated";;
25-02283;5038;"COENZYME Q10 Kaneka Ubiquinol Ž 100mg";"All / Saleable / Supplements";18.06.2024;L03420;Salmonella;11683;negativ;;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Aluminum_18343;5282;41;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Antimony_20083;5283;<0,050;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Arsenic_10563;5284;<0,040;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Barium_20483;5285;2,3;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Lead_10773;5286;<0,020;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Boron_27363;5287;<10;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Cadmium_10783;5288;<0,010;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Calcium_10793;5289;<10;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Chrome_20473;5290;0,19;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Cobalt_32293;5291;0,11;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Iron_10833;5292;4,9;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Potassium_10843;5293;11;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Copper_10933;5294;<0,040;mg/kg;;"not rated";;
25-01401;5038;"Q10 Ubiquinol 100mg";"All / Saleable / Supplements";26.10.2023;L09325;Lithium_27653;5295;<0,50;mg/kg;;"not rated";;
