Sample;SKU;Name;category;Date;LOT;Parameter;Parameter_ID;Result;Parameter_Unit;Rule_Unit;Rating;Target;"Testing Reason"
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Fat, Total";5239;63,4;"g/100 g";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;Arsenic_10563;5284;<0,040;mg/kg;;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;Lead_10773;5286;<0,020;mg/kg;;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;Cadmium_10783;5288;<0,010;mg/kg;;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;Mercury_10943;5302;<0,010;mg/kg;;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Fatty acid, omega-3";5448;595;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Fatty acids, omega-6";5449;33,6;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Fatty acids, omega-9";5450;113;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 18:2 Linoleic acid (o-6)";5473;0,5;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 18:3 alpha-linolenic acid (o-3)";5474;<0,99;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 18:3 Linolenic acid (o-4)";5475;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 18:3 Linolenic acid (o-6)";5476;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 18:4 Stearidonic acid (o-3)";5477;0,1;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 20:2 Eicosadienoic acid (o-6)";5480;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 20:3 Eicosatrienoic acid (o-6)";5481;0,1;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 20:3 Eicosatrienoic acid (o-3)";5482;0,2;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 20:4 Eicosatetraenoic acid (o-3)";5483;0,5;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 20:4 Arachidonic acid (o-6)";5484;19,8;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 20:5 Eicosapentaenoic acid (o-3)";5485;193;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 22:2 Docosadienoic acid (o-6)";5490;<0,1;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 22:4 Docosatetraenoic acid (o-6)";5491;0,3;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 22:5 Docosapentaenoic acid (o-3)";5492;2,8;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"C 22:6 Docosahexaenoic acid (o-3)";5493;348;"g/100 g fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Anisidine value";5500;2,3;;;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Number of peroxides";5501;3,5;"meq O2/kg fat";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;Enterobacteriaceae;5548;<10;"cfu/ g";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Staphylococci, coag. positive";5550;<10;"cfu/ g";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;Yeasts;5553;<10;"cfu/ g";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;Molds;5554;<10;"cfu/ g";;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Daily portion";11297;1;;;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Weight per dosage form_34954";11481;1,56;;;"not rated";;Newsletter
25-06491;8590;"Omega3 D3/K2 Vegan 1000mg Softgel";;29.07.2025;L300625;"Totox number";11677;9,3;;;"not rated";;Newsletter
