spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_taret_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1258,1,0,0,,11709,1727,Energy value in kJ (protein = N x 6.25),perfect,green,>=,1381.6,AND,<=,2072.4,,,
1258,1,0,0,,11710,409,Energy value in kcal (protein = N x 6.25),perfect,green,>=,327.2,AND,<=,490.8,,,
1258,1,0,0,,5239,7.2,"Fat, Total",perfect,green,>=,5.7,AND,<=,8.7,,,
1258,1,0,0,,5444,1.3,"Fatty acid, saturated",perfect,green,>=,0.5,AND,<=,2.1,,,
1258,1,0,0,,5244,6,Carbohydrates*,perfect,green,>=,4,AND,<=,8,,,
1258,1,0,0,,5245,0.3,Sugar,perfect,green,>=,0,AND,<=,2.3,,,
1258,1,0,0,,5252,3.7,Fibre,perfect,green,>=,1.7,AND,<=,5.7,,,
1258,1,0,0,,11423,78,"Protein, N x 6.25",perfect,green,>=,70,AND,<=,86,,,
1258,1,0,0,,11440,0.55,Salt from sodium,perfect,green,>=,0.175,AND,<=,0.925,,,
1258,1,0,0,,5240,,Fatty acid*,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5246,,"Sugar, total",perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5247,,Fructose,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5248,,Glucose,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5249,,Sucrose,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5250,,Maltose,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5251,,Lactose,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5445,,"Fatty acid, monounsaturated",perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5446,,"Fatty acid, polyunsaturated",perfect,green,!=,"""""",,,,,,
1258,1,0,0,,5299,,Sodium_10873,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,11249,,Ash,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,11377,,Air humidity,perfect,green,!=,"""""",,,,,,
1258,1,0,0,,12016,,moisture,perfect,green,!=,"""""",,,,,,
