spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1123,1,0,0,,5237,926,Energy value in kJ,,,,,,,,,,
1123,1,0,0,,5238,218,Energy value in kcal,,,,,,,,,,
1123,1,0,0,,5239,0.1,"Fat, Total",,,,,,,,,,
1123,1,0,0,,5240,0.1,Fatty acid*,,,,,,,,,,
1123,1,0,0,,5244,52.12,Carbohydrates*,,,,,,,,,,
1123,1,0,0,,5245,,Sugar,,,,,,,,,,
1123,1,0,0,,5246,48.52,"Sugar, total",,,,,,,,,,
1123,1,0,0,,5247,23.46,Fructose,,,,,,,,,,
1123,1,0,0,,5248,23.29,Glucose,,,,,,,,,,
1123,1,0,0,,5249,1.77,Sucrose,,,,,,,,,,
1123,1,0,0,,5250,,Maltose,,,,,,,,,,
1123,1,0,0,,5251,,Lactose,,,,,,,,,,
1123,1,0,0,,5444,,"Fatty acid, saturated",,,,,,,,,,
1123,1,0,0,,5445,,"Fatty acid, monounsaturated",,,,,,,,,,
1123,1,0,0,,5446,,"Fatty acid, polyunsaturated",,,,,,,,,,
1123,1,0,0,,11709,,Energy value in kJ (protein = N x 6.25),,,,,,,,,,
1123,1,0,0,,11710,,Energy value in kcal (protein = N x 6.25),,,,,,,,,,
1123,1,0,0,,11423,1.4,"Protein, N x 6.25",,,,,,,,,,
1123,1,0,0,,5299,,Sodium_10873,,,,,,,,,,
1123,1,0,0,,11440,0.016,Salt from sodium,,,,,,,,,,
1123,1,0,0,,11249,,Ash,,,,,,,,,,
1123,1,0,0,,11377,,Air humidity,,,,,,,,,,
1123,1,0,0,g,5252,2.1,fibers,,,,,,,,,,
1123,1,0,0,,12016,,moisture,,,,,,,,,,
1123,1,0,0,mg,5289,34,calcium,OK,orange,>=,27.2,AND,<,30.6,,,
1123,1,0,0,mg,5293,590,potassium,OK,orange,>=,472,AND,<,531,,,
1123,1,0,0,mg,5296,70,magnesium,OK,orange,>=,56,AND,<,63,,,
1123,1,0,0,mg,5297,0.48,Manganes,OK,orange,>=,0.384,AND,<,0.432,,,
