spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1123,1,0,0,,5237,926,Energy value in kJ,not OK,red,<,740.8,OR,>,1111.2,,,
1123,1,0,0,,5238,218,Energy value in kcal,not OK,red,<,174.4,OR,>,261.6,,,
1123,1,0,0,,5239,0.1,"Fat, Total",not OK,red,<,0,OR,>,1.6,,,
1123,1,0,0,,5240,0.1,Fatty acid*,not OK,red,<,0,OR,>,1.6,,,
1123,1,0,0,,5244,52.12,Carbohydrates*,not OK,red,<,44.12,OR,>,60.12,,,
1123,1,0,0,,5245,,Sugar,not OK,red,,,,,,,,
1123,1,0,0,,5246,48.52,"Sugar, total",not OK,red,<,40.52,OR,>,56.52,,,
1123,1,0,0,,5247,23.46,Fructose,not OK,red,,,,,,,,
1123,1,0,0,,5248,23.29,Glucose,not OK,red,,,,,,,,
1123,1,0,0,,5249,1.77,Sucrose,not OK,red,,,,,,,,
1123,1,0,0,,5250,,Maltose,not OK,red,,,,,,,,
1123,1,0,0,,5251,,Lactose,not OK,red,,,,,,,,
1123,1,0,0,,5444,,"Fatty acid, saturated",not OK,red,,,,,,,,
1123,1,0,0,,5445,,"Fatty acid, monounsaturated",not OK,red,,,,,,,,
1123,1,0,0,,5446,,"Fatty acid, polyunsaturated",not OK,red,,,,,,,,
1123,1,0,0,,11709,,Energy value in kJ (protein = N x 6.25),not OK,red,,,,,,,,
1123,1,0,0,,11710,,Energy value in kcal (protein = N x 6.25),not OK,red,,,,,,,,
1123,1,0,0,,11423,1.4,"Protein, N x 6.25",not OK,red,<,0,OR,>,3.4,,,
1123,1,0,0,,5299,,Sodium_10873,not OK,red,,,,,,,,
1123,1,0,0,,11440,0.016,Salt from sodium,not OK,red,<,0,OR,>,0.391,,,
1123,1,0,0,,11249,,Ash,not OK,red,,,,,,,,
1123,1,0,0,,11377,,Air humidity,not OK,red,,,,,,,,
1123,1,0,0,g,5252,2.1,fibers,not OK,red,,,,,,,,
1123,1,0,0,,12016,,moisture,not OK,red,,,,,,,,
1123,1,0,0,mg,5289,34,calcium,not OK,red,<,27.2,OR,>,49.3,,,
1123,1,0,0,mg,5293,590,potassium,not OK,red,<,472,OR,>,855.5,,,
1123,1,0,0,mg,5296,70,magnesium,not OK,red,<,56,OR,>,101.5,,,
1123,1,0,0,mg,5297,0.48,Manganes,not OK,red,<,0.384,OR,>,0.696,,,
