spec_id,show,column,inverse,DDF_unit,parametertype_id,DDF_target_value,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1123,1,0,0,,5237,926,Energy value in kJ,perfect,green,>=,740.8,AND,<=,1111.2,,,
1123,1,0,0,,5238,218,Energy value in kcal,perfect,green,>=,174.4,AND,<=,261.6,,,
1123,1,0,0,,5239,0.1,"Fat, Total",perfect,green,>=,0,AND,<=,1.6,,,
1123,1,0,0,,5240,0.1,Fatty acid*,perfect,green,>=,0,AND,<=,1.6,,,
1123,1,0,0,,5244,52.12,Carbohydrates*,perfect,green,>=,44.12,AND,<=,60.12,,,
1123,1,0,0,,5245,,Sugar,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5246,48.52,"Sugar, total",perfect,green,>=,40.52,AND,<=,56.52,,,
1123,1,0,0,,5247,23.46,Fructose,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5248,23.29,Glucose,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5249,1.77,Sucrose,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5250,,Maltose,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5251,,Lactose,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5444,,"Fatty acid, saturated",perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5445,,"Fatty acid, monounsaturated",perfect,green,!=,"""""",,,,,,
1123,1,0,0,,5446,,"Fatty acid, polyunsaturated",perfect,green,!=,"""""",,,,,,
1123,1,0,0,,11709,,Energy value in kJ (protein = N x 6.25),perfect,green,!=,"""""",,,,,,
1123,1,0,0,,11710,,Energy value in kcal (protein = N x 6.25),perfect,green,!=,"""""",,,,,,
1123,1,0,0,,11423,1.4,"Protein, N x 6.25",perfect,green,>=,0,AND,<=,3.4,,,
1123,1,0,0,,5299,,Sodium_10873,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,11440,0.016,Salt from sodium,perfect,green,>=,0,AND,<=,0.391,,,
1123,1,0,0,,11249,,Ash,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,11377,,Air humidity,perfect,green,!=,"""""",,,,,,
1123,1,0,0,,12016,,moisture,perfect,green,!=,"""""",,,,,,
1123,1,0,0,mg,5289,34,calcium,perfect,green,>=,30.6,AND,<=,42.5,,,
1123,1,0,0,mg,5293,590,potassium,perfect,green,>=,531,AND,<=,737.5,,,
1123,1,0,0,mg,5296,70,magnesium,perfect,green,>=,63,AND,<=,87.5,,,
1123,1,0,0,mg,5297,0.48,Manganes,perfect,green,>=,0.432,AND,<=,0.6,,,
1123,1,0,0,g,5252,2.1,fibers,perfect,green,>=,0.1,AND,<=,4.1,,,
