id,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,DDF_target_value,DDF_custom_color,name
319264,11235,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,none,overwritten to perfect,,3-MCPD/2-MCPD glycidyl ester
319265,11236,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,µg/kg,overwritten to perfect,,"3-MCPD, total (free and ester)"
319266,12004,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,none,overwritten to perfect,,"MCPD,2-, total"
319267,12005,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,µg/kg,overwritten to perfect,,"Glycidyl esters, sub-parameters"
319268,5371,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,none,overwritten to perfect,,"Ethylene oxide, QuEChERS"
319269,5372,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,none,overwritten to perfect,,"Ethylene oxide, free"
319270,5373,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,none,overwritten to perfect,,2-chloro-ethanol
319271,5374,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,"Ethylene oxide, total"
319272,5545,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,"Arsenic, inorganic_38852"
319273,11182,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Chloroethoxyfos
319274,11271,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Captan metabolite tetrahydrophthalimide (THPI)
319275,11412,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Phthalimide
319276,10499,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,"1,4-Dimethylnaphthalene"
319277,10505,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Bendiocarb
319278,10510,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Acephate
319279,10511,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Benodanil
319280,10512,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Acetamiprid
319281,10518,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Aclonifen
319282,10523,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Aldicarb
319283,10526,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Benzalkonium chloride - C14
319284,10529,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Benzalkonium chloride - C16
319285,10530,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Allethrin
319286,10534,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Amidithione
319287,10535,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Benzalkonium chloride - C8
319288,10541,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Amitraz
319289,10546,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Atrazine
319290,10554,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Bixafen
319291,10555,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Azinphos-methyl
319292,10556,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Boscalid
319293,10568,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Chlorobromuron
319294,10573,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,"Chlordane, oxy-"
319295,10576,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Bromuconazole
319296,10578,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Chlorodimeform
319297,10596,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Cadusafos
319298,10615,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Chlorothiophos
319299,10623,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Cinosulfuron
319300,10633,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Climbazole
319301,10638,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Cloquintocet-Mexyl
319302,10650,2003,,0,!=,"""""",,,,green,1,perfect,0,,1776756160,1776756160,,mg/kg,overwritten to perfect,,Cyanofenphos
