id,parametertype_id,spec_id,text,column,operator,value,linker,operator2,value2,color,show,DDF_type,inverse,regex_filter,u_created,u_modified,translations,DDF_unit,DDF_target_value,DDF_custom_color,name
318409,11235,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,none,overwritten to okay,,3-MCPD/2-MCPD glycidyl ester
318410,11236,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,µg/kg,overwritten to okay,,"3-MCPD, total (free and ester)"
318411,12004,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,none,overwritten to okay,,"MCPD,2-, total"
318412,12005,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,µg/kg,overwritten to okay,,"Glycidyl esters, sub-parameters"
318413,5371,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,none,overwritten to okay,,"Ethylene oxide, QuEChERS"
318414,5372,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,none,overwritten to okay,,"Ethylene oxide, free"
318415,5373,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,none,overwritten to okay,,2-chloro-ethanol
318416,5374,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,"Ethylene oxide, total"
318417,5545,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,"Arsenic, inorganic_38852"
318418,11182,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Chloroethoxyfos
318419,11271,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Captan metabolite tetrahydrophthalimide (THPI)
318420,11412,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Phthalimide
318421,10499,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,"1,4-Dimethylnaphthalene"
318422,10505,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Bendiocarb
318423,10510,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Acephate
318424,10511,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Benodanil
318425,10512,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Acetamiprid
318426,10518,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Aclonifen
318427,10523,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Aldicarb
318428,10526,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Benzalkonium chloride - C14
318429,10529,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Benzalkonium chloride - C16
318430,10530,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Allethrin
318431,10534,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Amidithione
318432,10535,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Benzalkonium chloride - C8
318433,10541,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Amitraz
318434,10546,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Atrazine
318435,10554,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Bixafen
318436,10555,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Azinphos-methyl
318437,10556,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Boscalid
318438,10568,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Chlorobromuron
318439,10573,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,"Chlordane, oxy-"
318440,10576,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Bromuconazole
318441,10578,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Chlorodimeform
318442,10596,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cadusafos
318443,10615,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Chlorothiophos
318444,10623,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cinosulfuron
318445,10633,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Climbazole
318446,10638,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cloquintocet-Mexyl
318447,10650,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cyanofenphos
318448,10654,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cyantraniliprole
318449,10661,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cyenopygraphs
318450,10662,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Diclobutrazol
318451,10663,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cyflufenamide
318452,10674,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Cyproconazole
318453,10680,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,"DDD-o,p"
318454,10686,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,"DDE-p,p"
318455,10688,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Difenacoum
318456,10699,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Diflubenzuron
318457,10706,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dimethenamide
318458,10708,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dimethoate
318459,10709,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Etaconazole
318460,10710,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dimethomorphs
318461,10717,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Ethirimol
318462,10719,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Ethofumesate
318463,10726,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Ethoxyquin dimer
318464,10727,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Diniconazole
318465,10728,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Etofenprox
318466,10729,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dinitramine
318467,10731,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dinocap
318468,10735,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dioxabenzophos
318469,10739,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dioxathion
318470,10754,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Diuron
318471,10757,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Fenbutatin oxide
318472,10758,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Dodin
318473,10763,2002,,0,!=,"""""",,,,orange,1,OK,0,,1776756160,1776756160,,mg/kg,overwritten to okay,,Fenfluthrin
