spec_id,show,column,inverse,DDF_unit,DDF_target_value,parametertype_id,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1205,1,0,0,µg/kg,10,12399,Ochratoxin A,not OK,red,>,10,,,,,,
1205,1,0,0,µg/kg,5,12400,Aflatoxin B1,not OK,red,>,5,,,,,,
1205,1,0,0,µg/kg,10,12404,"Sum of Aflatoxins B1, B2, G1, G2",not OK,red,>,10,,,,,,
1205,1,0,0,mg/kg,0.01,12429,Dimethomorph (Sum of isomers),not OK,red,>,0.01,,,,,,
1205,1,0,0,mg/kg,0.01,12430,Pesticides GC-MS/MS (Quechers),not OK,red,>,0.01,,,,,,
1205,1,0,0,mg/kg,0.01,12431,Pesticides LC-MS/MS (Quechers),not OK,red,>,0.01,,,,,,
1205,1,0,0,mg/kg,0.01,12432,Pyraclostrobin,not OK,red,>,0.01,,,,,,
1205,1,0,0,mg/kg,0.01,12433,Tebuconazole,not OK,red,>,0.01,,,,,,
1205,1,0,0,µg/kg,10,12436,Benzo(a)pyrene,not OK,red,>,10,,,,,,
1205,1,0,0,µg/kg,50,12438,Sum of PAHs (Summe PAKs),not OK,red,>,50,,,,,,
1205,1,0,0,mg/kg,10,12442,2-Propanol,not OK,red,>,10,,,,,,
1205,1,0,0,mg/kg,1,12450,Hexane (Hexan),not OK,red,>,1,,,,,,
1205,1,0,0,mg/kg,10,12452,Methanol,not OK,red,>,10,,,,,,
1205,1,0,0,CFU,1.00E+04,12455,Total plate count,not OK,red,>,1.00E+04,,,,,,
1205,1,0,0,CFU,1.00E+02,12456,Enterobacteriaceae,not OK,red,>,1.00E+02,,,,,,
1205,1,0,0,/10 g,absent,12457,Escherichia coli,not OK,red,>,0,,,,,,
1205,1,0,0,CFU,1.00E+02,12458,Yeasts,not OK,red,>,1.00E+02,,,,,,
1205,1,0,0,CFU,1.00E+02,12459,Moulds,not OK,red,>,1.00E+02,,,,,,
1205,1,0,0,CFU,1.00E+02,12460,Coagulase-positive Staphylococci,not OK,red,>,1.00E+02,,,,,,
1205,1,0,0,/25 g,absent,12461,Salmonella in 25 g,not OK,red,>,0,,,,,,
