spec_id,show,column,inverse,DDF_unit,DDF_target_value,parametertype_id,param_name,DDF_type,color,operator,value,linker,operator2,value2,regex_filter,text,translations
1205,1,0,0,µg/kg,10,12399,Ochratoxin A,perfect,green,<=,3,,,,,,
1205,1,0,0,µg/kg,5,12400,Aflatoxin B1,perfect,green,<=,1.5,,,,,,
1205,1,0,0,,,12401,Aflatoxin B2,perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12402,Aflatoxin G1,perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12403,Aflatoxin G2,perfect,green,!=,"""""",,,,,,
1205,1,0,0,µg/kg,10,12404,"Sum of Aflatoxins B1, B2, G1, G2",perfect,green,<=,3,,,,,,
1205,1,0,0,mg/kg,0.01,12429,Dimethomorph (Sum of isomers),perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,0.01,12430,Pesticides GC-MS/MS (Quechers),perfect,green,<=,0.01,OR,=,n.d.,,,
1205,1,0,0,mg/kg,0.01,12431,Pesticides LC-MS/MS (Quechers),perfect,green,<=,0.01,OR,=,n.d.,,,
1205,1,0,0,mg/kg,0.01,12432,Pyraclostrobin,perfect,green,<=,0.01,,,,,,
1205,1,0,0,mg/kg,0.01,12433,Tebuconazole,perfect,green,<=,0.01,,,,,,
1205,1,0,0,,,12434,Chrysen,perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12435,Benzo(a)anthracene,perfect,green,!=,"""""",,,,,,
1205,1,0,0,µg/kg,10,12436,Benzo(a)pyrene,perfect,green,<=,3,,,,,,
1205,1,0,0,,,12437,Benzo(b)fluoranthene,perfect,green,!=,"""""",,,,,,
1205,1,0,0,µg/kg,50,12438,Sum of PAHs (Summe PAKs),perfect,green,<=,15,,,,,,
1205,1,0,0,,,12439,1-Butanol,perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12440,1-Propanol,perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12441,2-Butanol,perfect,green,!=,"""""",,,,,,
1205,1,0,0,mg/kg,10,12442,2-Propanol,perfect,green,<=,3,,,,,,
1205,1,0,0,,,12443,Acetone (Aceton),perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12444,Cyclohexane (Cyclohexan),perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12445,Dichloromethane (Dichlormethan),perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12446,Diethyl ether (Diethylether),perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12447,Ethanol,perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12448,Ethylmethylketone (Ethylmethylketon),perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12449,Ethyl acetate (Ethylacetat),perfect,green,!=,"""""",,,,,,
1205,1,0,0,mg/kg,1,12450,Hexane (Hexan),perfect,green,<=,1,,,,,,
1205,1,0,0,,,12451,Methyl acetate (Methylacetat),perfect,green,!=,"""""",,,,,,
1205,1,0,0,mg/kg,10,12452,Methanol,perfect,green,<=,3,,,,,,
1205,1,0,0,,,12453,"1,1,1,2-Tetrafluoroethane",perfect,green,!=,"""""",,,,,,
1205,1,0,0,,,12454,Trichloromethane (Trichlormethan),perfect,green,!=,"""""",,,,,,
1205,1,0,0,CFU,1.00E+04,12455,Total plate count,perfect,green,<=,3.00E+03,,,,,,
1205,1,0,0,CFU,1.00E+02,12456,Enterobacteriaceae,perfect,green,<=,3.00E+01,,,,,,
1205,1,0,0,/10 g,absent,12457,Escherichia coli,perfect,green,=,n.d.,,,,,,
1205,1,0,0,CFU,1.00E+02,12458,Yeasts,perfect,green,<=,3.00E+01,,,,,,
1205,1,0,0,CFU,1.00E+02,12459,Moulds,perfect,green,<=,3.00E+01,,,,,,
1205,1,0,0,CFU,1.00E+02,12460,Coagulase-positive Staphylococci,perfect,green,<=,3.00E+01,,,,,,
1205,1,0,0,/25 g,absent,12461,Salmonella in 25 g,perfect,green,=,n.d.,,,,,,
